ID,Username,Age,Country,CreationDate,Description,FollowerCount,PostCount,Language
490,tyrone68,40,,08/30/2012 08:17 AM,I am a professional photographer and I love to take pictures of people and places,4312,38,ENG
491,ryanleon_1983,38,Japan,10/06/2010 09:16 AM,"The most famous and influential of the early American political cartoonists, Charles",4740,12,JAP
492,lopezkatherine_1964,24,Germany,01/26/2011 05:00 PM,The author is a professional writer and a professional photographer. She has been a,5347,53,GER
493,david04,19,Germany,02/26/2008 06:58 PM,"I am a very active person, I love to travel, I love to",17550,7,ITA
494,1989_lcarter,23,Germany,06/16/2018 03:41 AM,The first woman to be elected to the U.S. House of,10267,7,GER
495,chloe56_1969,,China,02/09/2023 11:42 AM,"The best of the best, the most popular, the most popular, the",1002,8,MAN
496,2004_donnarobinson,,Netherlands,10/29/2022 11:55 PM,The job offer is for a position in the Sales Department. The position is,581,3,NED
497,baileysandra,41,China,06/05/2022 02:26 AM,I am a full time student at the University of Toronto. I am a,1561,3,ENG
498,floresbeth_1975,84,China,07/21/2015 09:20 AM,"I am a young, single, and very ambitious woman.",5259,58,MAN
499,henglish,,UK,03/08/2015 01:56 AM,"The first Chinese-language newspaper in the United States, the People",5053,58,ENG
500,pspencer_1969,44,Japan,12/20/2022 11:37 AM,The first ever World Cup of Golf was held in the United States in 1969,228,1,JAP
